code,pop,cases,location,new_cases,duration,pop_rel,dur_rel
18710,17321,8,"148.88480452474886,-34.954021455151434",0.0,12010.3,0.040152533728962866,0.13566857657039166
15650,16355,1,"150.63079525643218,-32.43978828664431",0.0,13220.9,0.037913208771848485,0.1268321169116523
17950,2716,1,"147.67860395109426,-31.323928922201866",0.0,29088.2,0.006296073067828829,0.0542763073488719
17640,8274,3,"149.4557816140465,-34.4173983543572",0.0,10772.7,0.019180305067457926,0.1456750039388377
15560,3916,3,"145.72891199656357,-34.948785963098786",0.0,28655.1,0.009077843200890166,0.055656617451129264
10600,13141,1,"152.7285532911987,-30.40381637322741",0.0,25121.8,0.030462701098799203,0.06776518565508793
13850,2943,1,"144.68420874137928,-34.31489332351629",0.0,32122.7,0.006822291251332931,0.045145767139422754
10650,8784,5,"145.71114848907192,-35.73428434722171",3.0,29468.9,0.020362557374008994,0.0530798661098445
15800,5858,1,"146.57961831153148,-34.61061501474328",0.0,24184.1,0.013579674532894432,0.07126543780845851
16610,23490,2,"153.04623798411018,-29.059541030598943",0.0,32439.0,0.05445315035467569,0.044244175973414124
17650,5944,1,"151.31173603369325,-30.50745196532619",0.0,26212.4,0.013779034725763828,0.06385492249239255
11250,17269,2,"141.47927205136557,-31.94402940763503",2.0,52468.1,0.040031990356530205,0.0
13910,18617,2,"148.50100245494085,-34.3519115101432",0.0,15243.0,0.04315684547266911,0.11373660845744382
13550,12690,1,"150.18893214573106,-31.046349632366887",1.0,21532.2,0.02941721915712365,0.08195243853222633
16200,14728,2,"147.9609662497922,-32.88070953189364",0.0,20741.2,0.03414159209977282,0.08539627036439823
15300,13077,1,"149.6290667698298,-29.25223407217712",1.0,33244.3,0.03031434002503593,0.04198782613882279
17080,14412,1,"148.24966997657697,-35.73229079439277",0.0,24384.8,0.033409059298066666,0.070504982815917
14300,6676,1,"147.66890968756823,-34.81709371625933",0.0,18667.6,0.015475914506931244,0.09508830578501104
17350,6274,1,"147.4837280397477,-34.387900734341315",0.0,19164.3,0.014544021512355695,0.09267205003185819
12150,3907,1,"148.29107014019323,-30.870331161818516",0.0,27888.2,0.009056979924892206,0.05815274146014848
89399,431380,124,"149.00271876741513,-35.488373062124964",29.0,13344.6,1.0,0.1259752038105042
